# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-B" "-C" "--countReadPairs" "-t" "gene" "-g" "locus_tag" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts/gene_counts.txt" "results/alignment/SRR35308233.sorted.bam" "results/alignment/SRR35308234.sorted.bam" "results/alignment/SRR35308235.sorted.bam" "results/alignment/SRR35308236.sorted.bam" "results/alignment/SRR35308237.sorted.bam" "results/alignment/SRR35308238.sorted.bam" "results/alignment/SRR35308239.sorted.bam" "results/alignment/SRR35308240.sorted.bam" "results/alignment/SRR35308241.sorted.bam" "results/alignment/SRR35308242.sorted.bam" "results/alignment/SRR35308243.sorted.bam" "results/alignment/SRR35308244.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam	results/alignment/SRR35308234.sorted.bam	results/alignment/SRR35308235.sorted.bam	results/alignment/SRR35308236.sorted.bam	results/alignment/SRR35308237.sorted.bam	results/alignment/SRR35308238.sorted.bam	results/alignment/SRR35308239.sorted.bam	results/alignment/SRR35308240.sorted.bam	results/alignment/SRR35308241.sorted.bam	results/alignment/SRR35308242.sorted.bam	results/alignment/SRR35308243.sorted.bam	results/alignment/SRR35308244.sorted.bam
M8Y62_15775	CP097651.1	3242232	3243227	+	996	11034	11791	8418	4779	4743	4996	24012	15065	12906	5843	5961	3743
M8Y62_15780	CP097651.1	3243302	3244186	+	885	153	192	156	171	153	137	743	472	440	125	125	110
M8Y62_15785	CP097651.1	3244243	3245097	-	855	334	350	376	493	564	610	715	560	591	568	609	558
M8Y62_15790	CP097651.1	3245189	3245935	-	747	984	1030	1094	1142	1328	1472	2450	1750	1908	1918	2005	2139
M8Y62_15795	CP097651.1	3246352	3248286	+	1935	3622	5656	7739	29703	26318	24378	15650	12335	8737	21371	23925	9502
M8Y62_15800	CP097651.1	3248372	3249655	+	1284	4375	6421	8501	14072	13731	12146	9896	7841	5413	11481	11354	4374
M8Y62_15805	CP097651.1	3249701	3250264	-	564	243	308	318	447	482	450	531	386	325	476	516	540
M8Y62_15810	CP097651.1	3250423	3250905	+	483	92	95	115	162	176	132	212	176	147	151	174	144
M8Y62_15815	CP097651.1	3251027	3251338	-	312	26	38	38	23	35	34	120	88	79	34	44	47
M8Y62_15820	CP097651.1	3251406	3251525	+	120	8	6	6	0	2	3	23	21	8	1	1	1
M8Y62_15825	CP097651.1	3251596	3252477	-	882	84	86	86	63	48	67	336	255	270	82	102	81
M8Y62_15830	CP097651.1	3252653	3253867	+	1215	18	22	17	8	5	8	49	34	23	5	6	3
M8Y62_15835	CP097651.1	3253864	3254613	-	750	39	44	54	35	18	27	93	76	61	18	29	21
M8Y62_15840	CP097651.1	3254780	3255685	+	906	175	203	196	208	210	215	449	320	284	157	145	142
M8Y62_15845	CP097651.1	3255692	3256957	-	1266	119	132	102	33	21	39	190	129	107	19	32	17
M8Y62_15850	CP097651.1	3256960	3257379	-	420	109	128	83	49	59	68	202	143	141	58	78	65
M8Y62_15860	CP097651.1	3259942	3261303	+	1362	257	244	244	246	287	280	744	442	547	383	366	536
M8Y62_15865	CP097651.1	3261647	3263410	-	1764	420	481	514	944	1039	1062	1407	1107	988	1119	1298	1361
M8Y62_15870	CP097651.1	3263723	3264163	-	441	6	8	2	5	3	4	12	9	17	4	0	4
M8Y62_15875	CP097651.1	3264177	3264722	-	546	14	20	17	14	20	13	23	21	19	25	37	23
M8Y62_15880	CP097651.1	3264634	3265617	-	984	20	18	25	8	7	9	33	24	16	12	8	5
M8Y62_15885	CP097651.1	3265669	3266223	-	555	2	7	6	4	2	0	12	5	4	3	5	1
M8Y62_15890	CP097651.1	3266226	3266441	-	216	1	1	2	0	0	1	7	1	4	0	2	3
M8Y62_15895	CP097651.1	3266543	3266932	+	390	212	232	222	252	300	267	417	274	325	370	463	299
M8Y62_15900	CP097651.1	3267775	3267969	+	195	16	14	5	2	5	0	14	16	12	4	2	0
M8Y62_15905	CP097651.1	3268024	3268356	+	333	42	44	35	22	16	14	51	48	45	6	12	7
M8Y62_15910	CP097651.1	3268498	3270636	+	2139	57	66	54	19	23	15	72	41	24	29	32	18
M8Y62_15915	CP097651.1	3270689	3270934	+	246	2	1	1	0	0	0	2	0	0	3	0	0
M8Y62_15920	CP097651.1	3270915	3272042	+	1128	22	22	22	14	21	7	33	11	12	16	30	24
M8Y62_15925	CP097651.1	3272160	3273410	-	1251	9330	9161	9378	11169	13870	15949	20709	14937	15788	13558	14787	33446
M8Y62_15930	CP097651.1	3273651	3274301	+	651	307	330	351	172	181	204	649	512	436	157	167	119
M8Y62_15935	CP097651.1	3274318	3274776	+	459	209	223	233	179	160	180	578	435	365	219	173	111
M8Y62_15940	CP097651.1	3274833	3275939	+	1107	925	1114	1192	354	382	397	2281	1790	1660	430	440	180
M8Y62_15945	CP097651.1	3275994	3276635	+	642	196	232	234	73	103	146	564	477	413	132	145	44
M8Y62_15950	CP097651.1	3276639	3278009	+	1371	777	866	709	305	365	423	1403	1133	1017	277	337	289
M8Y62_15955	CP097651.1	3278064	3278426	-	363	78	77	102	101	142	145	288	229	273	165	250	215
M8Y62_15960	CP097651.1	3278510	3279316	-	807	99	82	108	220	266	269	269	173	186	209	191	263
M8Y62_15965	CP097651.1	3279599	3280270	+	672	649	715	793	1203	1290	1297	3523	2757	2860	937	1069	1005
M8Y62_15970	CP097651.1	3280270	3281736	+	1467	282	285	321	356	386	458	1984	1495	1525	278	362	368
M8Y62_15975	CP097651.1	3281822	3282943	+	1122	774	877	915	1124	1071	1164	2203	1563	1467	1027	1034	771
M8Y62_15980	CP097651.1	3283081	3283572	-	492	163	172	163	45	36	39	426	318	216	37	36	26
M8Y62_15990	CP097651.1	3285302	3286534	-	1233	887	1138	1056	294	309	322	3685	2596	1763	504	575	342
M8Y62_15995	CP097651.1	3286793	3287929	+	1137	225	221	201	84	94	90	426	283	338	53	84	49
M8Y62_16000	CP097651.1	3287913	3288770	+	858	47	35	39	19	21	27	107	98	89	17	28	14
M8Y62_16005	CP097651.1	3288767	3289552	+	786	52	36	51	16	31	38	111	71	69	22	24	37
M8Y62_16010	CP097651.1	3289549	3290595	+	1047	388	381	346	153	201	192	710	506	455	184	205	359
M8Y62_16015	CP097651.1	3290642	3292366	-	1725	159	187	211	84	81	96	542	413	356	85	96	100
M8Y62_16020	CP097651.1	3292363	3293991	-	1629	205	268	236	126	122	136	657	577	473	103	130	157
M8Y62_16025	CP097651.1	3294229	3296235	-	2007	570	626	530	365	425	509	1543	1119	1068	286	355	451
M8Y62_16030	CP097651.1	3296255	3297205	-	951	83	87	66	36	31	28	134	112	63	31	23	19
M8Y62_16035	CP097651.1	3297236	3297694	-	459	46	75	53	11	8	7	80	56	26	9	14	8
M8Y62_16040	CP097651.1	3297723	3298097	-	375	24	15	19	2	4	5	61	28	20	3	4	3
M8Y62_16045	CP097651.1	3298099	3299118	-	1020	47	45	50	14	12	12	84	43	28	7	6	7
M8Y62_16050	CP097651.1	3299211	3300929	-	1719	238	237	210	89	84	82	1072	473	260	92	102	63
M8Y62_16055	CP097651.1	3300965	3301972	-	1008	106	126	117	66	66	49	980	416	223	58	29	43
M8Y62_16060	CP097651.1	3302215	3303009	+	795	109	106	90	106	128	121	699	350	164	164	165	130
M8Y62_16065	CP097651.1	3303045	3304007	+	963	724	764	684	513	462	498	1287	843	695	429	545	356
M8Y62_16070	CP097651.1	3304032	3304376	-	345	66	55	59	16	36	30	160	122	99	17	20	10
M8Y62_16075	CP097651.1	3304467	3305297	-	831	574	573	371	344	379	419	922	690	758	441	454	702
M8Y62_16080	CP097651.1	3305312	3306223	-	912	602	596	489	503	579	527	1163	870	1000	500	567	931
M8Y62_16085	CP097651.1	3306272	3307516	-	1245	526	576	498	346	416	428	1277	938	1096	503	552	635
M8Y62_16090	CP097651.1	3307516	3308217	-	702	131	158	157	76	76	120	404	340	369	78	77	79
M8Y62_16095	CP097651.1	3308210	3309409	-	1200	399	465	554	266	326	382	1693	1228	1265	202	237	205
M8Y62_16100	CP097651.1	3309543	3309674	-	132	0	0	0	0	1	3	0	1	0	4	0	4
M8Y62_16105	CP097651.1	3309714	3313160	+	3447	876	973	975	587	619	740	2187	1658	1517	437	484	391
M8Y62_16110	CP097651.1	3313318	3314283	+	966	719	889	1117	2821	3349	3649	5594	4155	4887	1332	1516	2058
M8Y62_16115	CP097651.1	3314412	3314669	-	258	4584	4481	3962	923	797	650	7178	4879	4417	1364	1732	813
M8Y62_16120	CP097651.1	3314767	3314922	+	156	4	3	6	7	6	8	18	16	16	11	23	16
M8Y62_16125	CP097651.1	3314919	3315554	+	636	311	303	349	183	179	179	765	507	509	142	155	129
M8Y62_16130	CP097651.1	3315607	3315729	-	123	1	1	4	1	0	0	6	4	4	2	1	0
M8Y62_16135	CP097651.1	3315798	3317987	+	2190	281	321	312	74	100	78	972	648	678	74	82	51
M8Y62_16140	CP097651.1	3318045	3318584	-	540	2175	2228	2308	754	728	600	5505	3572	4203	442	472	466
M8Y62_16145	CP097651.1	3318779	3320083	-	1305	223	258	195	234	199	173	1020	705	751	365	380	229
M8Y62_16150	CP097651.1	3320329	3320871	-	543	4603	4290	4017	1892	1995	1790	2972	1976	1649	1446	1545	1087
M8Y62_16155	CP097651.1	3320907	3321917	-	1011	1277	1438	1541	895	885	848	2630	1841	1573	835	812	662
M8Y62_16165	CP097651.1	3322749	3323387	-	639	285	307	378	378	444	422	918	731	635	330	407	403
M8Y62_16170	CP097651.1	3323409	3323783	-	375	171	198	189	147	115	139	393	309	266	82	137	105
M8Y62_16175	CP097651.1	3323788	3324144	-	357	486	524	550	795	818	872	1289	958	827	933	1081	854
M8Y62_16180	CP097651.1	3324406	3325839	-	1434	1199	1410	1299	796	821	844	1868	1305	1066	651	654	567
M8Y62_16185	CP097651.1	3326136	3326930	-	795	269	303	319	378	370	347	592	451	433	487	496	246
M8Y62_16190	CP097651.1	3326941	3327945	-	1005	228	224	222	101	120	117	547	402	401	88	100	84
M8Y62_16195	CP097651.1	3327942	3328583	-	642	355	304	329	208	282	301	842	613	606	370	309	252
M8Y62_16200	CP097651.1	3328573	3329595	-	1023	380	392	345	183	174	225	758	538	554	206	192	162
M8Y62_16205	CP097651.1	3329597	3330406	-	810	141	170	211	68	65	77	294	214	169	51	66	47
M8Y62_16210	CP097651.1	3330532	3331773	-	1242	3121	3298	3128	1251	1467	1648	6484	4702	4119	1334	1432	1165
M8Y62_16215	CP097651.1	3331863	3332099	-	237	4294	4515	3985	5406	6726	6206	8649	6116	6848	9753	9513	11179
M8Y62_16220	CP097651.1	3332310	3333044	-	735	2625	2665	2454	1844	2143	1966	3994	2848	2805	2518	2602	2994
M8Y62_16225	CP097651.1	3333057	3333986	-	930	1480	1537	1299	741	763	771	2751	2020	2135	510	578	872
M8Y62_16230	CP097651.1	3334002	3334955	-	954	887	978	848	369	410	447	1918	1440	1309	363	349	444
M8Y62_16235	CP097651.1	3335009	3336106	-	1098	1189	1319	1117	378	409	484	2318	1755	1569	460	507	387
M8Y62_16240	CP097651.1	3336310	3336483	-	174	1944	1801	1548	704	831	1020	2844	1872	2033	1369	1562	1513
M8Y62_16245	CP097651.1	3336500	3337021	-	522	5650	6019	5253	1897	2492	2728	8483	5822	5971	4328	4217	3533
M8Y62_16250	CP097651.1	3337163	3337747	+	585	400	450	454	612	702	655	754	549	553	837	917	678
M8Y62_16255	CP097651.1	3337785	3338738	-	954	134	156	160	67	66	90	310	234	199	70	80	49
M8Y62_16260	CP097651.1	3339438	3342671	+	3234	29330	30301	28507	14686	16266	16250	32056	23087	19802	6941	6549	4608
M8Y62_16265	CP097651.1	3342710	3343738	-	1029	120	131	110	95	88	95	199	107	116	78	64	81
M8Y62_16270	CP097651.1	3343755	3344969	+	1215	66	60	53	25	24	26	121	98	79	25	20	18
M8Y62_16275	CP097651.1	3345023	3346558	-	1536	372	402	388	113	133	149	712	517	455	102	103	63
M8Y62_16280	CP097651.1	3346670	3347581	-	912	1933	2181	2016	2142	2523	2340	4100	2874	2829	2666	2815	2247
M8Y62_16285	CP097651.1	3347597	3348250	-	654	1371	1512	1523	1267	1331	1352	2564	2012	1813	1168	1214	1216
M8Y62_16290	CP097651.1	3348260	3348844	-	585	2542	2875	2498	3082	3350	3045	4767	3264	3462	3278	3715	3507
M8Y62_16295	CP097651.1	3349074	3350282	+	1209	102	98	95	47	44	52	288	201	176	40	71	37
M8Y62_16300	CP097651.1	3350396	3350956	+	561	2979	3215	3361	1803	1918	1840	3485	2377	2330	1311	1336	1224
M8Y62_16305	CP097651.1	3351082	3352128	+	1047	494	552	515	248	311	279	1136	813	700	241	261	222
M8Y62_16310	CP097651.1	3352201	3352452	+	252	496	476	496	102	104	121	377	221	253	109	120	89
M8Y62_16315	CP097651.1	3352755	3353009	+	255	7579	7733	6591	22456	21200	17826	7177	4022	5228	23519	28077	19708
M8Y62_16320	CP097651.1	3353135	3354253	+	1119	279	369	377	306	328	473	993	651	590	195	247	258
M8Y62_16325	CP097651.1	3354325	3354438	+	114	4	5	2	5	7	8	19	8	8	13	4	6
M8Y62_16330	CP097651.1	3354424	3355488	-	1065	96	100	104	24	31	39	213	140	152	34	49	33
M8Y62_16335	CP097651.1	3355694	3356614	+	921	1160	1251	1322	1214	1242	1188	2258	1578	1400	807	807	591
M8Y62_16340	CP097651.1	3356786	3358012	+	1227	190	189	190	47	38	33	499	395	362	27	28	22
M8Y62_16345	CP097651.1	3358104	3358490	+	387	41	66	74	49	75	45	190	159	148	98	149	74
M8Y62_16350	CP097651.1	3358491	3358718	-	228	85	85	112	57	60	54	270	207	210	136	145	79
M8Y62_16355	CP097651.1	3358785	3361313	-	2529	3075	3110	2988	1736	1871	1903	6216	4659	4342	1503	1864	2082
M8Y62_16360	CP097651.1	3361306	3362859	-	1554	1717	2121	2521	1635	1719	1893	4836	3537	3245	1268	1302	883
M8Y62_16365	CP097651.1	3363111	3364271	+	1161	433	569	595	307	369	296	960	632	562	216	213	109
M8Y62_16370	CP097651.1	3364306	3364899	-	594	294	362	328	287	322	362	798	528	552	501	457	460
M8Y62_16375	CP097651.1	3364966	3365493	-	528	133	142	127	202	221	227	430	291	346	242	255	286
M8Y62_16380	CP097651.1	3365643	3366125	-	483	65	93	62	16	21	15	173	107	94	18	24	12
M8Y62_16385	CP097651.1	3366229	3366783	-	555	265	288	288	470	528	621	961	696	757	574	678	578
M8Y62_16390	CP097651.1	3366806	3367543	-	738	372	472	529	565	655	674	1090	804	770	683	784	637
M8Y62_16395	CP097651.1	3367632	3368570	-	939	177	169	177	145	179	199	690	546	498	133	145	197
M8Y62_16400	CP097651.1	3368839	3368926	+	88	9	5	9	6	6	4	10	4	9	3	4	0
M8Y62_16405	CP097651.1	3369276	3370181	-	906	164	150	155	217	207	169	251	194	162	255	243	144
M8Y62_16410	CP097651.1	3370296	3371156	+	861	47	47	71	103	82	57	93	86	72	51	62	57
M8Y62_16415	CP097651.1	3371175	3371852	+	678	38	45	51	110	121	124	150	106	98	120	103	53
M8Y62_16420	CP097651.1	3371998	3372085	+	88	21	15	13	12	12	6	43	11	16	20	23	9
M8Y62_16425	CP097651.1	3372860	3373504	-	645	34	27	29	27	63	41	89	41	33	85	64	72
M8Y62_16430	CP097651.1	3373742	3374530	-	789	645	931	1197	4399	4323	4313	2366	1308	1522	5283	6177	4349
M8Y62_16435	CP097651.1	3375035	3376318	-	1284	66	51	44	37	31	35	101	77	62	32	30	28
M8Y62_16440	CP097651.1	3376323	3377450	-	1128	29	34	19	22	19	20	89	58	54	17	27	16
M8Y62_16445	CP097651.1	3377502	3378317	-	816	15	18	7	6	8	11	26	22	13	9	12	9
M8Y62_16450	CP097651.1	3378588	3379772	+	1185	15	32	20	17	17	18	45	36	33	25	25	17
M8Y62_16455	CP097651.1	3379804	3380238	-	435	49	79	59	103	117	123	137	101	106	94	112	142
M8Y62_16460	CP097651.1	3380373	3381881	-	1509	380	258	245	342	414	506	746	535	687	605	807	5211
M8Y62_16465	CP097651.1	3382303	3386265	+	3963	373	337	377	374	470	645	2681	1980	2239	429	618	3886
M8Y62_16470	CP097651.1	3386451	3386846	+	396	96	116	113	89	94	106	215	166	149	67	68	64
M8Y62_16475	CP097651.1	3386843	3387481	-	639	1175	1104	1050	1204	1397	1415	1659	1164	1145	1237	1250	1076
M8Y62_16480	CP097651.1	3387766	3388857	+	1092	30	29	38	9	16	14	53	27	24	24	16	11
M8Y62_16485	CP097651.1	3388857	3389567	+	711	12	8	11	8	4	4	15	6	9	1	2	2
M8Y62_16490	CP097651.1	3389560	3389952	+	393	4	11	6	5	3	10	19	8	9	2	3	2
M8Y62_16495	CP097651.1	3389949	3390752	+	804	11	26	9	6	12	12	36	19	21	5	5	0
M8Y62_16500	CP097651.1	3390749	3391339	+	591	27	30	25	13	7	7	52	32	28	4	8	1
M8Y62_16505	CP097651.1	3391350	3391844	+	495	16	10	6	13	8	10	17	8	17	2	2	1
M8Y62_16510	CP097651.1	3391866	3393188	+	1323	51	41	39	23	16	23	73	113	61	12	12	9
M8Y62_16515	CP097651.1	3393401	3394339	-	939	111	146	131	69	75	77	222	188	163	82	108	73
M8Y62_16520	CP097651.1	3394502	3394675	-	174	213	196	252	208	159	201	433	371	327	169	220	93
M8Y62_16525	CP097651.1	3394763	3394894	+	132	16	20	18	7	3	7	12	15	9	6	18	5
M8Y62_16530	CP097651.1	3395111	3395707	+	597	6200	7368	8529	9456	9722	8175	11217	7569	6595	9027	9273	5120
M8Y62_16535	CP097651.1	3395728	3395955	+	228	2126	2991	3715	2154	2083	1980	3786	2565	1853	1621	1829	909
M8Y62_16540	CP097651.1	3396024	3397271	-	1248	5448	5788	5389	6174	6566	5329	5388	3919	3663	6066	6231	4068
M8Y62_16545	CP097651.1	3397424	3397873	+	450	149	113	121	52	50	68	222	187	174	37	41	31
M8Y62_16550	CP097651.1	3397989	3398777	+	789	110	120	92	50	46	39	324	292	271	29	36	30
M8Y62_16555	CP097651.1	3398798	3399019	-	222	293	330	276	183	225	207	566	513	473	243	244	275
M8Y62_16560	CP097651.1	3399276	3399398	+	123	503	619	740	268	310	241	479	316	355	234	298	452
M8Y62_16565	CP097651.1	3399517	3400908	-	1392	168	181	199	201	283	326	412	296	421	263	356	2195
M8Y62_16570	CP097651.1	3401262	3402683	-	1422	835	755	707	944	1283	1835	1511	1369	1679	907	1034	8857
M8Y62_16575	CP097651.1	3402909	3403661	+	753	350	363	396	393	577	768	717	623	770	415	425	2959
M8Y62_16580	CP097651.1	3403687	3404244	+	558	209	192	198	181	253	320	463	350	416	258	263	1502
M8Y62_16585	CP097651.1	3404565	3406052	+	1488	69	62	83	82	88	128	296	190	250	78	85	414
M8Y62_16590	CP097651.1	3406055	3407335	+	1281	61	56	55	68	70	72	378	254	270	93	86	287
M8Y62_16595	CP097651.1	3407332	3408294	-	963	90	122	107	181	180	212	294	216	244	161	175	269
M8Y62_16600	CP097651.1	3408377	3409462	+	1086	396	313	256	2508	2040	1842	1374	860	1314	2266	2535	445
M8Y62_16605	CP097651.1	3409918	3411525	+	1608	107	103	91	209	210	203	244	160	189	250	234	130
M8Y62_16610	CP097651.1	3411562	3412686	+	1125	81	67	77	298	243	218	409	311	245	250	262	68
M8Y62_16615	CP097651.1	3412705	3414153	+	1449	51	46	71	101	61	73	330	209	163	81	92	30
M8Y62_16620	CP097651.1	3414211	3415176	+	966	15	16	19	35	27	23	86	77	56	24	29	13
M8Y62_16625	CP097651.1	3415214	3417715	-	2502	125	150	144	106	84	108	566	354	302	116	120	115
M8Y62_16630	CP097651.1	3418025	3419101	+	1077	34	41	29	16	20	23	95	77	68	24	15	11
M8Y62_16635	CP097651.1	3419122	3419442	+	321	27	34	33	39	22	25	120	87	62	21	15	22
M8Y62_16640	CP097651.1	3419492	3421789	+	2298	62	75	71	18	32	32	263	200	132	23	12	20
M8Y62_16645	CP097651.1	3421755	3422630	+	876	27	28	32	7	9	11	83	76	64	12	4	0
M8Y62_16650	CP097651.1	3422646	3422987	+	342	21	34	20	17	23	17	70	50	40	8	18	12
M8Y62_16660	CP097651.1	3424030	3424863	+	834	111	115	116	186	188	186	305	210	226	236	269	314
M8Y62_16665	CP097651.1	3424860	3425780	-	921	80	72	111	51	66	54	242	143	144	57	58	37
M8Y62_16670	CP097651.1	3426024	3427052	-	1029	20	39	30	12	13	13	79	52	55	13	8	12
M8Y62_16675	CP097651.1	3427054	3428628	-	1575	10	16	19	5	3	7	31	17	20	3	9	7
M8Y62_16680	CP097651.1	3428650	3429666	-	1017	16	17	18	15	18	23	51	27	32	34	28	45
M8Y62_16690	CP097651.1	3430792	3431601	+	810	46	39	56	60	63	73	127	85	76	76	81	54
M8Y62_16695	CP097651.1	3431645	3431986	-	342	22	25	23	22	23	33	24	30	27	52	63	52
M8Y62_16700	CP097651.1	3432051	3434477	-	2427	158	163	179	271	310	333	361	227	171	432	539	256
M8Y62_16705	CP097651.1	3434781	3434868	-	88	44	42	40	12	12	11	104	55	32	8	13	12
M8Y62_16710	CP097651.1	3434988	3436640	-	1653	1027	1236	1292	1016	1107	1059	1515	1118	801	934	982	992
M8Y62_16715	CP097651.1	3436910	3437569	+	660	2652	3020	3639	3766	4101	4744	7583	5414	5834	2039	2223	2502
M8Y62_16720	CP097651.1	3437658	3437987	+	330	133	143	146	85	106	107	246	169	168	170	183	125
M8Y62_16725	CP097651.1	3437984	3438265	-	282	70	76	79	115	111	106	196	114	162	174	185	105
M8Y62_16730	CP097651.1	3438314	3439102	-	789	98	118	95	60	46	49	203	126	134	56	61	53
M8Y62_16735	CP097651.1	3439120	3439674	-	555	59	78	74	32	27	40	98	73	79	10	24	10
M8Y62_16740	CP097651.1	3439865	3441067	+	1203	222	238	251	149	132	173	416	348	266	94	139	65
M8Y62_16745	CP097651.1	3441127	3441444	+	318	1065	1064	932	1205	1364	1187	974	671	699	990	1120	688
M8Y62_16750	CP097651.1	3441475	3441888	-	414	416	492	525	638	629	685	729	509	468	681	799	589
M8Y62_16755	CP097651.1	3442043	3442501	+	459	268	325	353	194	201	250	953	612	497	183	186	223
M8Y62_16760	CP097651.1	3442513	3444567	-	2055	515	577	623	491	524	539	1641	1245	1073	489	569	435
M8Y62_16765	CP097651.1	3444692	3445138	+	447	154	165	176	97	114	125	364	259	208	84	83	68
M8Y62_16770	CP097651.1	3445156	3447291	+	2136	336	409	406	191	178	192	1027	887	624	129	125	110
M8Y62_16775	CP097651.1	3447305	3447901	-	597	61	62	79	55	75	53	214	118	135	72	81	83
M8Y62_16780	CP097651.1	3447992	3448207	+	216	14	24	28	27	15	14	41	25	16	22	22	10
M8Y62_16785	CP097651.1	3448250	3448759	+	510	1309	1438	1327	509	504	601	1466	1024	905	382	418	332
M8Y62_16790	CP097651.1	3449112	3450182	+	1071	25584	31725	34359	42594	36455	31781	33659	23771	19783	17349	18250	6801
M8Y62_16795	CP097651.1	3450314	3450766	-	453	526	462	460	605	599	616	646	438	460	689	769	747
M8Y62_16800	CP097651.1	3450952	3452709	+	1758	658	785	770	323	350	385	1705	1295	1153	212	218	151
M8Y62_16805	CP097651.1	3452779	3453297	+	519	625	618	651	308	366	488	1720	1074	1090	331	450	372
M8Y62_16810	CP097651.1	3453366	3453533	-	168	1141	1301	1460	1413	1401	1189	1117	756	653	1782	1939	1755
M8Y62_16815	CP097651.1	3453787	3454350	-	564	335	343	329	158	153	180	420	288	261	108	132	94
M8Y62_16820	CP097651.1	3454350	3455987	-	1638	783	911	838	457	521	508	1405	1095	992	490	498	527
M8Y62_16825	CP097651.1	3455977	3457245	-	1269	508	484	508	367	361	337	820	639	562	254	256	261
M8Y62_16830	CP097651.1	3457260	3459167	-	1908	785	847	722	421	436	483	1266	938	862	398	486	532
M8Y62_16835	CP097651.1	3459180	3461285	-	2106	603	700	674	314	343	377	1416	1032	968	423	457	192
M8Y62_16840	CP097651.1	3461385	3462494	+	1110	350	346	378	642	703	787	1077	822	854	520	574	603
M8Y62_16845	CP097651.1	3462491	3463033	-	543	505	543	560	1033	1249	1307	1113	746	893	1845	1875	1934
M8Y62_16850	CP097651.1	3463203	3464213	-	1011	553	753	590	159	183	191	1181	794	684	192	214	101
M8Y62_16855	CP097651.1	3464463	3465038	+	576	11	14	13	3	5	2	9	11	15	4	5	7
M8Y62_16865	CP097651.1	3465990	3467135	+	1146	20	19	15	12	7	11	48	38	32	8	8	4
M8Y62_16870	CP097651.1	3467146	3467937	+	792	25	29	34	15	8	7	61	41	38	11	11	5
M8Y62_16875	CP097651.1	3467934	3468707	+	774	61	72	45	57	69	51	189	137	120	41	66	62
M8Y62_16880	CP097651.1	3468912	3471527	-	2616	2212	2460	2366	3522	4148	4571	6128	4694	4549	3043	3354	5094
M8Y62_16885	CP097651.1	3471854	3473056	+	1203	447	553	627	334	372	395	1597	1137	1125	334	371	227
M8Y62_16890	CP097651.1	3473099	3474265	-	1167	49	67	56	37	44	35	122	106	64	59	47	60
M8Y62_16895	CP097651.1	3474284	3475522	-	1239	27	37	43	25	15	30	77	53	41	21	28	35
M8Y62_16900	CP097651.1	3475547	3476836	-	1290	46	63	43	41	55	28	99	60	59	47	48	34
M8Y62_16905	CP097651.1	3476959	3478110	-	1152	18	27	13	16	19	25	37	29	32	7	17	24
M8Y62_16910	CP097651.1	3478482	3478943	+	462	97	113	88	59	72	74	116	102	78	116	100	69
M8Y62_16915	CP097651.1	3479119	3480519	+	1401	3027	3241	3001	1042	1227	1366	5310	3713	3158	955	1002	1036
M8Y62_16920	CP097651.1	3481114	3482190	+	1077	164	222	214	169	150	147	453	251	224	144	170	126
M8Y62_16925	CP097651.1	3482378	3483568	+	1191	1302	1378	1365	1577	1868	2110	4844	3377	3423	1565	1894	2282
M8Y62_16930	CP097651.1	3483637	3484284	-	648	4452	3854	3028	1615	2164	2113	4506	3211	3555	2468	2506	3212
M8Y62_16935	CP097651.1	3484298	3484849	-	552	2598	2295	2034	630	796	890	2481	1831	1994	923	1020	1211
M8Y62_16940	CP097651.1	3485152	3486942	-	1791	1046	1162	1164	1123	1277	1352	2545	1913	1889	837	1067	966
M8Y62_16945	CP097651.1	3487143	3491591	-	4449	5393	5559	4827	2274	2383	2603	6263	4869	4793	1514	1571	2039
M8Y62_16950	CP097651.1	3491591	3492295	-	705	820	924	946	392	411	471	1503	1220	1164	351	323	243
M8Y62_16955	CP097651.1	3492276	3493598	-	1323	801	961	940	307	358	384	1988	1636	1349	276	241	203
M8Y62_16960	CP097651.1	3493595	3494395	-	801	559	614	612	311	330	331	1523	1150	1040	287	303	245
M8Y62_16965	CP097651.1	3494517	3495296	+	780	477	481	460	200	213	208	965	710	568	103	141	86
M8Y62_16970	CP097651.1	3495273	3496166	-	894	1483	1524	1252	884	970	790	1999	1410	1338	1095	1180	849
M8Y62_16975	CP097651.1	3496303	3497049	-	747	593	677	670	586	639	685	1694	1333	1187	412	515	451
M8Y62_16980	CP097651.1	3497046	3497228	-	183	117	128	147	156	171	128	264	188	174	163	164	151
M8Y62_16985	CP097651.1	3497292	3498521	-	1230	467	508	410	205	231	282	869	674	595	251	278	295
M8Y62_16990	CP097651.1	3498576	3499556	-	981	224	273	214	119	132	146	441	404	358	142	162	100
M8Y62_16995	CP097651.1	3499553	3501301	-	1749	727	883	887	363	423	470	1839	1395	1289	296	305	199
M8Y62_17000	CP097651.1	3501338	3503602	-	2265	95	90	89	51	43	40	158	117	81	27	39	40
M8Y62_17005	CP097651.1	3503808	3504095	-	288	1090	1169	1225	1136	1107	1088	2598	1873	1870	1529	1752	1157
M8Y62_17010	CP097651.1	3504247	3505920	-	1674	41537	39014	30811	12425	14360	14925	38365	26937	28017	11561	11293	10357
M8Y62_17015	CP097651.1	3506054	3506737	-	684	1577	1682	1815	797	813	769	2984	2222	2442	694	780	400
